N,P,K,temperature,humidity,ph,rainfall,label_es
57,60,84,19.103428300000001,17.261845409999999,6.5867771890000002,75.491011670000006,garbanzo
52,68,78,17.48504075,16.96070581,6.8965519799999999,86.050780369999998,garbanzo
43,79,79,19.407517439999999,18.98030507,7.8067476560000015,80.250646369999998,garbanzo
44,74,85,20.18649426,19.637199949999999,7.1506813029999998,78.260395590000002,garbanzo
24,55,78,17.302878849999999,15.15405941,6.6491957299999997,75.577903840000005,garbanzo
29,77,75,17.503611370000002,15.48083156,7.7785916179999992,72.944667100000004,garbanzo
20,60,78,18.172349990000001,14.70085967,6.3587403550000001,90.776070700000005,garbanzo
56,67,78,17.574456179999999,16.718265720000002,8.2554507580000003,77.818914239999998,garbanzo
37,66,85,20.931752549999999,18.912954030000002,6.4561484739999999,78.069107950000003,garbanzo
49,71,76,19.71098332,17.638794180000001,6.6130721450000003,85.579254370000001,garbanzo
59,69,80,19.079376839999998,17.867549270000001,8.1653592970000002,69.406191370000002,garbanzo
20,79,77,18.549886269999998,16.025426889999999,7.6486746600000002,76.325652489999996,garbanzo
24,56,85,18.199036469999999,17.41333199,6.5458885579999997,80.640540299999998,garbanzo
51,72,75,18.88852533,14.994511449999999,7.1042247970000005,80.111338400000022,garbanzo
57,73,85,18.493112050000001,14.721150440000001,7.3580996220000001,91.945953520000003,garbanzo
22,64,82,19.489743369999999,17.17260319,6.4740245000000005,87.513127960000006,garbanzo
52,73,79,17.257694990000001,18.749439550000002,7.8403393889999986,94.002872139999994,garbanzo
29,75,75,19.62416326,18.71483156,7.0647903650000003,88.458569199999999,garbanzo
44,59,78,20.675264729999999,19.853889840000001,7.5990334720000003,84.783440080000005,garbanzo
41,69,82,20.023814890000001,16.632944550000001,6.7155872320000007,68.978065419999993,garbanzo
52,56,85,20.118744600000007,14.44228303,6.8171242200000002,88.681686429999999,garbanzo
34,76,80,20.656917929999999,15.845725659999999,7.9854173929999996,65.238111430000004,garbanzo
42,74,83,19.258255699999999,14.2804191,7.545258424,65.780420320000005,garbanzo
34,71,79,17.927806,15.85622899,7.7289981970000001,74.638727619999997,garbanzo
27,73,79,19.162882679999999,15.835006549999999,7.3549734510000002,82.697668289999996,garbanzo
30,70,79,20.269422710000001,19.96978871,7.3131222349999998,69.644491819999999,garbanzo
57,57,75,17.091042229999999,18.251420679999999,7.7850390760000003,87.274448660000004,garbanzo
27,79,82,17.065792930000001,17.540240659999998,6.3070049229999992,70.871505769999999,garbanzo
32,71,85,20.62767492,14.440088709999999,6.4039823160000005,92.066303059999996,garbanzo
31,76,82,20.824845100000001,17.850570829999999,7.5992799910000004,79.205092120000003,garbanzo
33,75,84,19.462104010000001,18.728319930000001,7.2170184590000002,68.814051489999997,garbanzo
47,80,77,17.18248372,16.428918339999999,7.5611080060000004,72.850173440000006,garbanzo
54,62,80,17.489116989999999,16.39055394,7.4895450739999996,79.457583330000006,garbanzo
47,79,78,17.483953769999999,14.760145229999999,6.6096967339999999,65.113656309999996,garbanzo
35,57,83,19.483167940000001,17.445346409999999,7.4768009429999998,80.498629100000002,garbanzo
53,73,77,19.713597329999999,18.096657390000001,7.3254512790000001,73.64476535,garbanzo
45,61,78,19.48649305,16.062400740000001,6.4893892820000003,81.528426900000014,garbanzo
37,78,79,19.952648289999999,14.826330990000001,7.7863663220000001,88.681031099999998,garbanzo
30,75,81,19.417897360000001,16.804722430000002,6.4084378860000015,68.495118899999994,garbanzo
37,55,82,19.455918480000001,18.02235902,8.4238737029999999,78.449105639999999,garbanzo
53,65,76,20.191377589999998,16.419982690000001,8.7199608929999997,77.337953560000003,garbanzo
22,60,85,18.839290800000001,14.740718559999999,7.8119979770000008,94.781895939999998,garbanzo
60,61,78,20.712192819999999,19.836433079999999,6.3171532050000003,94.036598670000004,garbanzo
42,67,77,18.994244479999999,15.9362937,7.1144052880000004,78.697071989999998,garbanzo
39,76,76,19.968374619999999,15.573243890000001,8.1359007260000009,69.157590619999993,garbanzo
35,63,76,17.815645480000001,17.607566349999999,7.7141530379999992,90.820976009999995,garbanzo
30,65,82,20.714243840000002,15.27824066,7.1037980689999998,76.778886720000003,garbanzo
57,56,78,17.341502290000001,18.756262549999999,8.8614796679999994,67.9545435,garbanzo
48,65,78,17.437327140000001,14.338474059999999,7.8611281479999997,73.092670400000003,garbanzo
36,56,83,18.89780215,19.761829460000001,7.4526709000000002,69.095124769999998,garbanzo
40,58,75,18.591907710000001,14.77959596,7.1680960550000004,89.609824509999996,garbanzo
49,69,82,18.315614929999999,15.36143547,7.2631185499999997,81.787104630000002,garbanzo
13,60,25,17.136927740000001,20.595416929999999,5.6859716599999999,128.25686200000001,frijol rojo
25,70,16,19.634743319999998,18.907056390000001,5.759237003,106.3598183,frijol rojo
31,55,22,22.913502449999999,21.339531139999998,5.8731718940000004,109.225556,frijol rojo
40,64,16,16.433403420000001,24.240458749999998,5.9266769850000003,140.3717815,frijol rojo
2,61,20,22.13974653,23.022511170000001,5.9556166800000003,76.641282579999995,frijol rojo
26,65,22,17.848065609999999,18.776219510000001,5.9499490810000015,143.09841709999995,frijol rojo
17,57,21,19.883940110000001,20.31564139,5.7892142889999985,60.919747919999999,frijol rojo
26,80,18,19.325096380000002,23.333478800000002,5.5810215210000003,104.77839470000001,frijol rojo
17,59,17,18.416700100000003,23.428299379999999,5.6898581330000004,132.98010540000001,frijol rojo
27,59,22,21.81167649,23.20591245,5.7941585039999985,130.06080929999999,frijol rojo
28,58,24,19.727025279999999,18.281730150000001,5.7481904629999994,143.76308940000001,frijol rojo
25,57,19,17.154329539999999,19.870706590000001,5.5665228960000004,87.996697310000002,frijol rojo
28,80,17,19.622078259999999,18.671708540000001,5.8094195839999996,144.15674540000001,frijol rojo
25,60,22,21.631491480000001,21.179197009999999,5.8872630270000004,134.36499480000001,frijol rojo
12,78,23,16.065227539999999,18.724796950000002,5.9981245300000001,88.066387750000004,frijol rojo
6,77,25,20.61162204,24.363141349999999,5.792744849,69.63833855,frijol rojo
22,79,17,21.424510990000002,20.396597140000001,5.9122898890000002,116.52069229999999,frijol rojo
27,80,15,19.070961650000001,21.210922660000001,5.7883869510000014,86.21917578,frijol rojo
10,55,23,21.188531780000002,19.634385989999998,5.7282330809999999,137.19486330000001,frijol rojo
23,65,20,23.042909699999999,22.426109719999999,5.833940084,108.36843159999999,frijol rojo
19,78,16,20.653758329999999,23.105386370000002,5.9675332360000004,67.717689469999996,frijol rojo
19,65,25,18.095510139999998,18.293184360000001,5.6250964460000015,144.79023230000001,frijol rojo
22,70,19,18.23775702,21.076432730000001,5.5156150229999996,69.449515849999997,frijol rojo
37,64,22,17.481897350000001,18.825197299999999,5.9546653489999999,121.9401369,frijol rojo
11,71,17,19.919178599999999,21.47324158,5.7464477699999996,82.685543789999997,frijol rojo
18,79,20,20.27514686,23.235360400000001,5.8773475150000003,139.7521543,frijol rojo
21,63,17,15.773702139999999,19.230316200000001,5.9799739650000001,108.3441414,frijol rojo
24,80,22,16.711706419999999,19.17651433,5.635993966,96.772858170000006,frijol rojo
34,60,22,17.66148158,18.153027529999999,5.6352317779999996,100.6711761,frijol rojo
16,75,21,18.506928250000001,23.616700649999999,5.6792243459999998,87.051328900000016,frijol rojo
17,77,23,24.513247870000001,20.81527638,5.6700629749999996,64.194979470000007,frijol rojo
37,72,18,18.876149980000001,24.540382869999998,5.7242420650000003,105.4120514,frijol rojo
40,73,20,21.59343016,20.318712489999999,5.8113142320000009,61.138720360000001,frijol rojo
9,77,17,20.123732839999999,24.452025519999999,5.783425416,106.15820100000001,frijol rojo
1,62,23,15.43546065,18.374779069999999,5.6078084320000006,139.0302034,frijol rojo
33,59,22,22.64236876,21.593961230000001,5.9469995290000002,122.38860149999999,frijol rojo
23,59,19,21.985607989999998,24.873047880000001,5.8520469989999997,129.56506010000001,frijol rojo
6,62,22,20.530526630000001,18.092240480000001,5.8240909839999997,120.4509288,frijol rojo
25,63,20,15.78601387,21.145440879999999,5.5029991190000001,95.170281290000005,frijol rojo
7,79,23,19.636534900000001,19.687510840000002,5.821649914,96.658889329999994,frijol rojo
8,72,17,20.573412439999998,19.752021800000001,5.7114392560000002,87.878691610000004,frijol rojo
27,64,15,20.160805239999998,24.84207559,5.5149272639999998,138.23621220000001,frijol rojo
28,66,23,21.53989176,24.25386207,5.9961611899999996,120.6913038,frijol rojo
32,57,18,15.53834801,23.755602410000002,5.6954228629999992,107.38505929999999,frijol rojo
27,56,22,19.918530919999998,20.700998040000002,5.8330109579999991,108.6434544,frijol rojo
17,77,24,20.769522089999999,18.931469409999998,5.5684568990000001,109.01937119999999,frijol rojo
0,65,15,23.46168338,23.221976479999999,5.6454356260000003,95.842534380000004,frijol rojo
13,72,21,24.321166420000001,21.027867400000002,5.8211944859999996,60.275525279999997,frijol rojo
34,60,23,20.125740530000002,24.969698579999999,5.6592549810000001,100.04971829999999,frijol rojo
9,80,19,21.806195639999999,18.57086554,5.9454659489999999,125.0972687,frijol rojo
11,72,20,19.52226241,24.926071530000002,5.9511774520000005,113.33402599999999,frijol rojo
3,67,24,17.000676250000001,19.907905459999998,5.5208800139999985,103.29264070000001,frijol rojo
35,69,23,16.787915030000001,24.968817550000001,5.578410206,75.453280390000003,frijol rojo
3,77,25,24.849061679999998,22.894646420000001,5.6081651949999998,62.212921860000002,frijol rojo
23,62,19,16.51783455,20.455559600000001,5.6094351279999994,98.777942249999995,frijol rojo
22,71,17,18.153001530000001,19.386020980000001,5.5092953790000001,107.6907964,frijol rojo
31,79,25,23.188643849999998,22.310455099999999,5.9020334060000001,63.38208822,frijol rojo
34,59,18,23.38002569,21.988794370000001,5.7441176629999999,87.66898664,frijol rojo
